,Website,Review,review_processed,tok_processed_reviews,review_polarity,review_subjectivity
0,yelp.com,I called Amtrak and they were running on-time and had room on the ,i called amtrak and they were running on-time and had room on the,"['called', 'amtrak', 'running', 'on-time', 'room']",0,0
1,yelp.com, has standard Amtrak fare so if you want something better get it at the station.,has standard amtrak fare so if you want something better get it at the station.,"['standard', 'amtrak', 'fare', 'want', 'something', 'better', 'get', 'station.']",0.5367,0.25
3,yelp.com,"""I don't usually post reviews but these guys were so good that I had to write this. Wonderful service, friendly, courteous and helpful drivers. Reliable, always on time, very reasonable prices. I randomly found this cab service…""","""i don't usually post reviews but these guys were so good that i had to write this. wonderful service, friendly, courteous and helpful drivers. reliable, always on time, very reasonable prices. i randomly found this cab service…""","['""i', 'usually', 'post', 'reviews', 'guys', 'good', 'write', 'this.', 'wonderful', 'service,', 'friendly,', 'courteous', 'helpful', 'drivers.', 'reliable,', 'always', 'time,', 'reasonable', 'prices.', 'randomly', 'found', 'cab', 'service…""']",0.9791,0.661428571
4,yelp.com,"""I don't give five stars and am rather abrasive with my reviews (I am also glad humans don't have a review system as I'm sure I wouldn't make great marks but now I'm getting off track thanks to Black Mirror) ... where was I... oh…""","""i don't give five stars and am rather abrasive with my reviews (i am also glad humans don't have a review system as i'm sure i wouldn't make great marks but now i'm getting off track thanks to black mirror) ... where was i... oh…""","['""i', 'give', 'five', 'stars', 'rather', 'abrasive', 'reviews', '(i', 'also', 'glad', 'humans', 'review', 'system', ""i'm"", 'sure', 'make', 'great', 'marks', ""i'm"", 'getting', 'track', 'thanks', 'black', 'mirror)', '...', 'i...', 'oh…""']",0.6545,0.654444444
5,yelp.com,"Your trust is our top concern, so businesses can't pay to alter or remove their reviews. Learn more about reviews.","your trust is our top concern, so businesses can't pay to alter or remove their reviews. learn more about reviews.","['trust', 'top', 'concern,', 'businesses', ""can't"", 'pay', 'alter', 'remove', 'reviews.', 'learn', 'reviews.']",0.6868,0.5
6,yelp.com,so businesses can't pay to alter or remove their reviews. ,so businesses can't pay to alter or remove their reviews.,"['businesses', ""can't"", 'pay', 'alter', 'remove', 'reviews.']",0.143,0
7,yelp.com,"Amtrak has always been a reliable transportation for me to get to NYC from Boston. Its clean, has comfortable coach seats and the customer service is awesome. I lost my wallet during a trip from NY to BOS, I ran to the ticketing booth to see if they could help me contact the conductor. Danielle from the ticketing booth was able to contact the conductor, Dan, and they were able to help me find my wallet! They were incredibly nice and understanding. 10/10 would always recommend taking the Amtrak from BOS to NYC.","amtrak has always been a reliable transportation for me to get to nyc from boston. its clean, has comfortable coach seats and the customer service is awesome. i lost my wallet during a trip from ny to bos, i ran to the ticketing booth to see if they could help me contact the conductor. danielle from the ticketing booth was able to contact the conductor, dan, and they were able to help me find my wallet! they were incredibly nice and understanding. 10/10 would always recommend taking the amtrak from bos to nyc.","['amtrak', 'always', 'reliable', 'transportation', 'get', 'nyc', 'boston.', 'clean,', 'comfortable', 'coach', 'seats', 'customer', 'service', 'awesome.', 'lost', 'wallet', 'trip', 'ny', 'bos,', 'ran', 'ticketing', 'booth', 'see', 'could', 'help', 'contact', 'conductor.', 'danielle', 'ticketing', 'booth', 'able', 'contact', 'conductor,', 'dan,', 'able', 'help', 'find', 'wallet!', 'incredibly', 'nice', 'understanding.', '10/10', 'would', 'always', 'recommend', 'taking', 'amtrak', 'bos', 'nyc.']",0.9589,0.791666667
8,yelp.com,"Not a bad way to head to New York or Philadelphia if the price is right and if everything runs on time - both of which are big ifs. The Acela trains are generally the fastest option between Boston and New York since you don't have to wade thru traffic on both ends in getting to the airport. They're also reasonably comfortable inside, with seats that offer enough width and leg room so that you can get things done on your laptop or snooze cozily. They can be just as - if not more - expensive than flying, but you can get good deals if you can buy more than 14 days beforehand. They're not truly ""high-speed"" in a European sense, though, and the ""business class"" cabin is similar to what would be 2nd-class in Europe. The Northeast Regional trains are slower, not just because they might stop at more stations, but also because they can be deprioritized behind Acela and freight trains - so delays can cascade dramatically. Coach-class seats have better legroom than planes but are still anything but glamorous, especially if everyone around you is yakking on their phones. All this having been said, they're usually cheaper than Acela trains. Again, if everything runs on time and you can get a reasonably priced fare, Acela is definitely the way to go to New York or Philly. It still takes too long to get to DC, though, so flying is much faster and usually cheaper.","not a bad way to head to new york or philadelphia if the price is right and if everything runs on time - both of which are big ifs. the acela trains are generally the fastest option between boston and new york since you don't have to wade thru traffic on both ends in getting to the airport. they're also reasonably comfortable inside, with seats that offer enough width and leg room so that you can get things done on your laptop or snooze cozily. they can be just as - if not more - expensive than flying, but you can get good deals if you can buy more than 14 days beforehand. they're not truly ""high-speed"" in a european sense, though, and the ""business class"" cabin is similar to what would be 2nd-class in europe. the northeast regional trains are slower, not just because they might stop at more stations, but also because they can be deprioritized behind acela and freight trains - so delays can cascade dramatically. coach-class seats have better legroom than planes but are still anything but glamorous, especially if everyone around you is yakking on their phones. all this having been said, they're usually cheaper than acela trains. again, if everything runs on time and you can get a reasonably priced fare, acela is definitely the way to go to new york or philly. it still takes too long to get to dc, though, so flying is much faster and usually cheaper.","['bad', 'way', 'head', 'new', 'york', 'philadelphia', 'price', 'right', 'everything', 'runs', 'time', '-', 'big', 'ifs.', 'acela', 'trains', 'generally', 'fastest', 'option', 'boston', 'new', 'york', 'since', 'wade', 'thru', 'traffic', 'ends', 'getting', 'airport.', ""they're"", 'also', 'reasonably', 'comfortable', 'inside,', 'seats', 'offer', 'enough', 'width', 'leg', 'room', 'get', 'things', 'done', 'laptop', 'snooze', 'cozily.', '-', '-', 'expensive', 'flying,', 'get', 'good', 'deals', 'buy', '14', 'days', 'beforehand.', ""they're"", 'truly', '""high-speed""', 'european', 'sense,', 'though,', '""business', 'class""', 'cabin', 'similar', 'would', '2nd-class', 'europe.', 'northeast', 'regional', 'trains', 'slower,', 'might', 'stop', 'stations,', 'also', 'deprioritized', 'behind', 'acela', 'freight', 'trains', '-', 'delays', 'cascade', 'dramatically.', 'coach-class', 'seats', 'better', 'legroom', 'planes', 'still', 'anything', 'glamorous,', 'especially', 'everyone', 'around', 'yakking', 'phones.', 'said,', ""they're"", 'usually', 'cheaper', 'acela', 'trains.', 'again,', 'everything', 'runs', 'time', 'get', 'reasonably', 'priced', 'fare,', 'acela', 'definitely', 'way', 'go', 'new', 'york', 'philly.', 'still', 'takes', 'long', 'get', 'dc,', 'though,', 'flying', 'much', 'faster', 'usually', 'cheaper.']",0.9308,0.492923743
9,yelp.com,"Rotting on stopped Amtrak California Zephyr. No idea when trip will resume. Conductor chimes in occasionally with jokes, apparently thinks it's funny. Buyer beware...this is third world stuff.","rotting on stopped amtrak california zephyr. no idea when trip will resume. conductor chimes in occasionally with jokes, apparently thinks it's funny. buyer beware...this is third world stuff.","['rotting', 'stopped', 'amtrak', 'california', 'zephyr.', 'idea', 'trip', 'resume.', 'conductor', 'chimes', 'occasionally', 'jokes,', 'apparently', 'thinks', 'funny.', 'buyer', 'beware...this', 'third', 'world', 'stuff.']",0.1335,0.36875
10,yelp.com,"Amtrak is one of my favorite ways to travel. Either between Boston and Providence or to NYC. Why drive when you can sit and enjoy the ride? No traffic to deal with, cold beverages and snacks at your leisure, restrooms etc. To me, Amtrak travel is a no brainer. I suggest booking your tickets as soon as you can because the price is often wayyyy cheaper when there is plenty of time before your trip. Tickets can sometimes double if not triple in price if you wait for the last minute.","amtrak is one of my favorite ways to travel. either between boston and providence or to nyc. why drive when you can sit and enjoy the ride? no traffic to deal with, cold beverages and snacks at your leisure, restrooms etc. to me, amtrak travel is a no brainer. i suggest booking your tickets as soon as you can because the price is often wayyyy cheaper when there is plenty of time before your trip. tickets can sometimes double if not triple in price if you wait for the last minute.","['amtrak', 'one', 'favorite', 'ways', 'travel.', 'either', 'boston', 'providence', 'nyc.', 'drive', 'sit', 'enjoy', 'ride?', 'traffic', 'deal', 'with,', 'cold', 'beverages', 'snacks', 'leisure,', 'restrooms', 'etc.', 'me,', 'amtrak', 'travel', 'brainer.', 'suggest', 'booking', 'tickets', 'soon', 'price', 'often', 'wayyyy', 'cheaper', 'plenty', 'time', 'trip.', 'tickets', 'sometimes', 'double', 'triple', 'price', 'wait', 'last', 'minute.']",0.4215,0.513333333
